"animal","condition","avg_expression","percent_expressed","marker","group"
"Animal25","nkp46-",0.0584377297465658,2.14131324929182,"CD69","activation"
"Animal26","nkp46+",0.122396736154078,7.13352796558082,"CD69","activation"
"Animal26","nkp46-",0.187474942422048,11.7330725983867,"CD69","activation"
"Animal27","nkp46+",0.0330552465000599,1.57639450282943,"CD69","activation"
"Animal27","nkp46-",0.109277283771306,4.58724158850156,"CD69","activation"
"Animal28","nkp46+",0.0947478602646638,6.79102795311091,"CD69","activation"
"Animal28","nkp46-",0.281055549060388,14.4747257717969,"CD69","activation"
"Animal52","nkp46+",0.114459249404451,4.37031162222002,"CD69","activation"
"Animal52","nkp46-",0.205245403194925,11.5476597198497,"CD69","activation"
"Animal25","nkp46+",0.036251601242386,2.13218282998812,"TNFRSF18","activation"
"Animal25","nkp46-",0.0429992504964437,1.5694013720515,"TNFRSF18","activation"
"Animal26","nkp46+",0.0967942801726756,5.28964351567302,"TNFRSF18","activation"
"Animal26","nkp46-",0.0589941095797891,3.78880469322904,"TNFRSF18","activation"
"Animal27","nkp46+",0.023667245064383,1.11156022635408,"TNFRSF18","activation"
"Animal27","nkp46-",0.0436568676721307,1.79663073405199,"TNFRSF18","activation"
"Animal28","nkp46+",0.0185700009845405,1.22858431018936,"TNFRSF18","activation"
"Animal28","nkp46-",0.0216185922649267,1.16099362961288,"TNFRSF18","activation"
"Animal52","nkp46+",0.0262145798853834,1.02111628829186,"TNFRSF18","activation"
"Animal52","nkp46-",0.0866059463966629,5.19303040655962,"TNFRSF18","activation"
"Animal25","nkp46+",0.0540745536900689,3.25142249734259,"ITGAM","maturation"
"Animal25","nkp46-",0.00500612610583486,0.187952260125928,"ITGAM","maturation"
"Animal26","nkp46+",0.0695775784976566,3.98740012292563,"ITGAM","maturation"
